112.2	9.614
112.5	9.624
112.8	9.634
113.1	9.644
113.3	9.654
113.6	9.664
113.9	9.673
114.2	9.683
114.5	9.693
114.8	9.703
115.1	9.713
115.4	9.723
115.7	9.733
116	9.743
116.2	9.752
116.5	9.762
116.8	9.772
117.1	9.782
117.4	9.792
117.7	9.802
118	9.812
118.3	9.821
118.6	9.831
118.9	9.841
119.1	9.851
119.4	9.861
119.7	9.871
120	9.881
120.3	9.891
120.6	9.9
120.9	9.91
121.2	9.92
121.5	9.93
121.8	9.94
122.1	9.95
122.3	9.96
122.6	9.97
122.9	9.979
123.2	9.989
123.5	9.999
123.8	10.01
124.1	10.02
124.4	10.03
124.7	10.04
125	10.05
125.2	10.06
125.5	10.07
125.8	10.08
126.1	10.09
126.4	10.1
126.7	10.11
127	10.12
127.3	10.13
127.6	10.14
127.9	10.15
128.1	10.16
128.4	10.17
128.7	10.18
129	10.19
129.3	10.2
129.6	10.21
129.9	10.22
130.2	10.23
130.5	10.24
130.8	10.25
131.1	10.26
131.3	10.27
131.6	10.28
131.9	10.29
132.2	10.3
132.5	10.31
132.8	10.31
133.1	10.32
133.4	10.33
133.7	10.34
134	10.35
134.2	10.36
134.5	10.37
134.8	10.38
135.1	10.39
135.4	10.4
135.7	10.41
136	10.42
136.3	10.43
136.6	10.44
136.9	10.45
137.1	10.46
137.4	10.47
137.7	10.48
138	10.49
138.3	10.5
138.6	10.51
138.9	10.52
139.2	10.53
139.5	10.54
139.8	10.55
140.1	10.56
140.3	10.57
140.6	10.58
140.9	10.59
141.2	10.6
141.5	10.61
141.8	10.62
142.1	10.63
142.4	10.64
142.7	10.65
143	10.66
143.2	10.67
143.5	10.68
143.8	10.69
144.1	10.7
144.4	10.71
144.7	10.72
145	10.73
145.3	10.74
145.6	10.75
145.9	10.76
146.1	10.77
146.4	10.78
146.7	10.79
147	10.8
147.3	10.81
147.6	10.82
147.9	10.83
148.2	10.84
148.5	10.85
148.8	10.86
149	10.87
149.3	10.88
149.6	10.89
149.9	10.9
150.2	10.91
150.5	10.92
150.8	10.93
151.1	10.94
151.4	10.95
151.7	10.96
152	10.97
152.2	10.98
152.5	10.99
152.8	11
153.1	11.01
153.4	11.02
153.7	11.03
154	11.04
154.3	11.05
154.6	11.06
154.9	11.07
155.1	11.07
155.4	11.08
155.7	11.09
156	11.1
156.3	11.11
156.6	11.12
156.9	11.13
157.2	11.14
157.5	11.15
157.8	11.16
158	11.17
158.3	11.18
158.6	11.19
158.9	11.2
159.2	11.21
159.5	11.22
159.8	11.23
